Sample	Lib	File	Read	Path
PS-A1	221014_A01901_0056_AHNLGHDSX3	P27213_101_S53_L002	R1	/home/nylander/run/snv/data/P27213/P27213_101/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A1	221014_A01901_0056_AHNLGHDSX3	P27213_101_S53_L002	R2	/home/nylander/run/snv/data/P27213/P27213_101/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A2	221014_A01901_0056_AHNLGHDSX3	P27213_102_S54_L002	R1	/home/nylander/run/snv/data/P27213/P27213_102/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A2	221014_A01901_0056_AHNLGHDSX3	P27213_102_S54_L002	R2	/home/nylander/run/snv/data/P27213/P27213_102/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A3	221014_A01901_0056_AHNLGHDSX3	P27213_103_S55_L002	R1	/home/nylander/run/snv/data/P27213/P27213_103/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A3	221014_A01901_0056_AHNLGHDSX3	P27213_103_S55_L002	R2	/home/nylander/run/snv/data/P27213/P27213_103/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A4	221014_A01901_0056_AHNLGHDSX3	P27213_104_S56_L002	R1	/home/nylander/run/snv/data/P27213/P27213_104/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A4	221014_A01901_0056_AHNLGHDSX3	P27213_104_S56_L002	R2	/home/nylander/run/snv/data/P27213/P27213_104/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A5	221014_A01901_0056_AHNLGHDSX3	P27213_105_S57_L002	R1	/home/nylander/run/snv/data/P27213/P27213_105/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A5	221014_A01901_0056_AHNLGHDSX3	P27213_105_S57_L002	R2	/home/nylander/run/snv/data/P27213/P27213_105/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A6	221014_A01901_0056_AHNLGHDSX3	P27213_106_S58_L002	R1	/home/nylander/run/snv/data/P27213/P27213_106/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A6	221014_A01901_0056_AHNLGHDSX3	P27213_106_S58_L002	R2	/home/nylander/run/snv/data/P27213/P27213_106/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A7	221014_A01901_0056_AHNLGHDSX3	P27213_107_S59_L002	R1	/home/nylander/run/snv/data/P27213/P27213_107/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A7	221014_A01901_0056_AHNLGHDSX3	P27213_107_S59_L002	R2	/home/nylander/run/snv/data/P27213/P27213_107/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A8	221014_A01901_0056_AHNLGHDSX3	P27213_108_S60_L002	R1	/home/nylander/run/snv/data/P27213/P27213_108/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A8	221014_A01901_0056_AHNLGHDSX3	P27213_108_S60_L002	R2	/home/nylander/run/snv/data/P27213/P27213_108/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A9	221014_A01901_0056_AHNLGHDSX3	P27213_109_S61_L002	R1	/home/nylander/run/snv/data/P27213/P27213_109/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A9	221014_A01901_0056_AHNLGHDSX3	P27213_109_S61_L002	R2	/home/nylander/run/snv/data/P27213/P27213_109/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A10	221014_A01901_0056_AHNLGHDSX3	P27213_110_S62_L002	R1	/home/nylander/run/snv/data/P27213/P27213_110/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-A10	221014_A01901_0056_AHNLGHDSX3	P27213_110_S62_L002	R2	/home/nylander/run/snv/data/P27213/P27213_110/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B1	221014_A01901_0056_AHNLGHDSX3	P27213_111_S63_L002	R1	/home/nylander/run/snv/data/P27213/P27213_111/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B1	221014_A01901_0056_AHNLGHDSX3	P27213_111_S63_L002	R2	/home/nylander/run/snv/data/P27213/P27213_111/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B2	221014_A01901_0056_AHNLGHDSX3	P27213_112_S64_L002	R1	/home/nylander/run/snv/data/P27213/P27213_112/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B2	221014_A01901_0056_AHNLGHDSX3	P27213_112_S64_L002	R2	/home/nylander/run/snv/data/P27213/P27213_112/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B3	221014_A01901_0056_AHNLGHDSX3	P27213_113_S65_L002	R1	/home/nylander/run/snv/data/P27213/P27213_113/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B3	221014_A01901_0056_AHNLGHDSX3	P27213_113_S65_L002	R2	/home/nylander/run/snv/data/P27213/P27213_113/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B4	221014_A01901_0056_AHNLGHDSX3	P27213_114_S66_L002	R1	/home/nylander/run/snv/data/P27213/P27213_114/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B4	221014_A01901_0056_AHNLGHDSX3	P27213_114_S66_L002	R2	/home/nylander/run/snv/data/P27213/P27213_114/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B5	221014_A01901_0056_AHNLGHDSX3	P27213_115_S67_L002	R1	/home/nylander/run/snv/data/P27213/P27213_115/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B5	221014_A01901_0056_AHNLGHDSX3	P27213_115_S67_L002	R2	/home/nylander/run/snv/data/P27213/P27213_115/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B6	221014_A01901_0056_AHNLGHDSX3	P27213_116_S68_L002	R1	/home/nylander/run/snv/data/P27213/P27213_116/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B6	221014_A01901_0056_AHNLGHDSX3	P27213_116_S68_L002	R2	/home/nylander/run/snv/data/P27213/P27213_116/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B7	221014_A01901_0056_AHNLGHDSX3	P27213_117_S69_L002	R1	/home/nylander/run/snv/data/P27213/P27213_117/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B7	221014_A01901_0056_AHNLGHDSX3	P27213_117_S69_L002	R2	/home/nylander/run/snv/data/P27213/P27213_117/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B8	221014_A01901_0056_AHNLGHDSX3	P27213_118_S70_L002	R1	/home/nylander/run/snv/data/P27213/P27213_118/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B8	221014_A01901_0056_AHNLGHDSX3	P27213_118_S70_L002	R2	/home/nylander/run/snv/data/P27213/P27213_118/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B9	221014_A01901_0056_AHNLGHDSX3	P27213_119_S71_L002	R1	/home/nylander/run/snv/data/P27213/P27213_119/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B9	221014_A01901_0056_AHNLGHDSX3	P27213_119_S71_L002	R2	/home/nylander/run/snv/data/P27213/P27213_119/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B10	221014_A01901_0056_AHNLGHDSX3	P27213_120_S72_L002	R1	/home/nylander/run/snv/data/P27213/P27213_120/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-B10	221014_A01901_0056_AHNLGHDSX3	P27213_120_S72_L002	R2	/home/nylander/run/snv/data/P27213/P27213_120/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C1	221014_A01901_0056_AHNLGHDSX3	P27213_121_S73_L002	R1	/home/nylander/run/snv/data/P27213/P27213_121/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C1	221014_A01901_0056_AHNLGHDSX3	P27213_121_S73_L002	R2	/home/nylander/run/snv/data/P27213/P27213_121/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C2	221014_A01901_0056_AHNLGHDSX3	P27213_122_S74_L002	R1	/home/nylander/run/snv/data/P27213/P27213_122/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C2	221014_A01901_0056_AHNLGHDSX3	P27213_122_S74_L002	R2	/home/nylander/run/snv/data/P27213/P27213_122/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C3	221014_A01901_0056_AHNLGHDSX3	P27213_123_S75_L002	R1	/home/nylander/run/snv/data/P27213/P27213_123/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C3	221014_A01901_0056_AHNLGHDSX3	P27213_123_S75_L002	R2	/home/nylander/run/snv/data/P27213/P27213_123/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C4	221014_A01901_0056_AHNLGHDSX3	P27213_124_S76_L002	R1	/home/nylander/run/snv/data/P27213/P27213_124/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C4	221014_A01901_0056_AHNLGHDSX3	P27213_124_S76_L002	R2	/home/nylander/run/snv/data/P27213/P27213_124/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C5	221014_A01901_0056_AHNLGHDSX3	P27213_125_S77_L002	R1	/home/nylander/run/snv/data/P27213/P27213_125/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C5	221014_A01901_0056_AHNLGHDSX3	P27213_125_S77_L002	R2	/home/nylander/run/snv/data/P27213/P27213_125/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C6	221014_A01901_0056_AHNLGHDSX3	P27213_126_S78_L002	R1	/home/nylander/run/snv/data/P27213/P27213_126/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C6	221014_A01901_0056_AHNLGHDSX3	P27213_126_S78_L002	R2	/home/nylander/run/snv/data/P27213/P27213_126/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C7	221014_A01901_0056_AHNLGHDSX3	P27213_127_S79_L002	R1	/home/nylander/run/snv/data/P27213/P27213_127/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C7	221014_A01901_0056_AHNLGHDSX3	P27213_127_S79_L002	R2	/home/nylander/run/snv/data/P27213/P27213_127/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C8	221014_A01901_0056_AHNLGHDSX3	P27213_128_S80_L002	R1	/home/nylander/run/snv/data/P27213/P27213_128/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C8	221014_A01901_0056_AHNLGHDSX3	P27213_128_S80_L002	R2	/home/nylander/run/snv/data/P27213/P27213_128/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C9	221014_A01901_0056_AHNLGHDSX3	P27213_129_S81_L002	R1	/home/nylander/run/snv/data/P27213/P27213_129/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C9	221014_A01901_0056_AHNLGHDSX3	P27213_129_S81_L002	R2	/home/nylander/run/snv/data/P27213/P27213_129/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C10	221014_A01901_0056_AHNLGHDSX3	P27213_130_S82_L002	R1	/home/nylander/run/snv/data/P27213/P27213_130/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
PS-C10	221014_A01901_0056_AHNLGHDSX3	P27213_130_S82_L002	R2	/home/nylander/run/snv/data/P27213/P27213_130/02-FASTQ/221014_A01901_0056_AHNLGHDSX3/
